"Freq [GHz]","dB(St(1,1)) []"
2.5,-0.0755896685704308
2.50125,-0.0756527597044376
2.5025,-0.0757160545251889
2.50375,-0.0757795540798143
2.505,-0.0758432594187533
2.50625,-0.0759071715957605
2.5075,-0.0759712916679394
2.50875,-0.0760356206957492
2.51,-0.0761001597430351
2.51125,-0.0761649098770416
2.5125,-0.0762298721684444
2.51375,-0.0762950476913582
2.515,-0.0763604375233649
2.51625,-0.0764260427455367
2.5175,-0.0764918644424538
2.51875,-0.0765579037022232
2.52,-0.0766241616165085
2.52125,-0.0766906392805429
2.5225,-0.0767573377931577
2.52375,-0.0768242582568035
2.525,-0.0768914017775636
2.52625,-0.076958769465191
2.5275,-0.0770263624331135
2.52875,-0.0770941817984761
2.53,-0.0771622286821438
2.53125,-0.0772305042087378
2.5325,-0.077299009506657
2.53375,-0.077367745708092
2.535,-0.0774367139490548
2.53625,-0.0775059153694075
2.5375,-0.0775753511128775
2.53875,-0.077645022327078
2.54,-0.0777149301635428
2.54125,-0.0777850757777454
2.5425,-0.0778554603291166
2.54375,-0.0779260849810803
2.545,-0.0779969509010703
2.54625,-0.0780680592605476
2.5475,-0.0781394112350474
2.54875,-0.0782110080041805
2.55,-0.078282850751671
2.55125,-0.0783549406653772
2.5525,-0.0784272789373141
2.55375,-0.0784998667636926
2.555,-0.0785727053449212
2.55625,-0.0786457958856537
2.5575,-0.0787191395948041
2.55875,-0.0787927376855697
2.56,-0.0788665913754743
2.56125,-0.0789407018863716
2.5625,-0.079015070444482
2.56375,-0.0790896982804279
2.565,-0.0791645866292472
2.56625,-0.0792397367304237
2.5675,-0.079315149827921
2.56875,-0.0793908271701976
2.57,-0.0794667700102434
2.57125,-0.0795429796056104
2.5725,-0.0796194572184292
2.57375,-0.0796962041154432
2.575,-0.0797732215680408
2.57625,-0.0798505108522718
2.5775,-0.0799280732488919
2.57875,-0.0800059100433759
2.58,-0.0800840225259531
2.58125,-0.0801624119916465
2.5825,-0.0802410797402782
2.58375,-0.08032002707652
2.585,-0.0803992553099163
2.58625,-0.080478765754909
2.5875,-0.080558559730872
2.58875,-0.0806386385621475
2.59,-0.0807190035780578
2.59125,-0.0807996561129577
2.5925,-0.0808805975062459
2.59375,-0.0809618291024155
2.595,-0.0810433522510639
2.59625,-0.081125168306941
2.5975,-0.0812072786299723
2.59875,-0.0812896845852897
2.6,-0.0813723875432726
2.60125,-0.0814553888795681
2.6025,-0.0815386899751297
2.60375,-0.0816222922162475
2.605,-0.0817061969945836
2.60625,-0.0817904057072053
2.6075,-0.0818749197566108
2.60875,-0.0819597405507759
2.61,-0.0820448695031706
2.61125,-0.0821303080328069
2.6125,-0.0822160575642637
2.61375,-0.0823021195277336
2.615,-0.0823884953590399
2.61625,-0.0824751864996827
2.6175,-0.082562194396868
2.61875,-0.0826495205035517
2.62,-0.0827371662784624
2.62125,-0.0828251331861499
2.6225,-0.0829134226970088
2.62375,-0.083002036287319
2.625,-0.0830909754392885
2.62625,-0.0831802416410784
2.6275,-0.0832698363868517
2.62875,-0.0833597611767985
2.63,-0.0834500175171775
2.63125,-0.0835406069203602
2.6325,-0.0836315309048594
2.63375,-0.0837227909953687
2.635,-0.0838143887228068
2.63625,-0.0839063256243412
2.6375,-0.0839986032434556
2.63875,-0.0840912231299497
2.64,-0.0841841868400138
2.64125,-0.0842774959362443
2.6425,-0.0843711519876961
2.64375,-0.0844651565699202
2.645,-0.0845595112650001
2.64625,-0.0846542176615909
2.6475,-0.0847492773549713
2.64875,-0.0848446919470733
2.65,-0.0849404630465244
2.65125,-0.0850365922686964
2.6525,-0.0851330812357373
2.65375,-0.0852299315766282
2.655,-0.0853271449272036
2.65625,-0.0854247229302177
2.6575,-0.0855226672353709
2.65875,-0.0856209794993548
2.66,-0.0857196613859084
2.66125,-0.085818714565849
2.6625,-0.0859181407171136
2.66375,-0.0860179415248208
2.665,-0.0861181186812992
2.66625,-0.0862186738861322
2.6675,-0.0863196088462216
2.66875,-0.0864209252758061
2.67,-0.0865226248965349
2.67125,-0.086624709437491
2.6725,-0.0867271806352508
2.67375,-0.0868300402339235
2.675,-0.0869332899852148
2.67625,-0.087036931648446
2.6775,-0.087140966990626
2.67875,-0.0872453977864922
2.68,-0.08735022581855
2.68125,-0.0874554528771407
2.6825,-0.0875610807604708
2.68375,-0.0876671112746703
2.685,-0.0877735462338468
2.68625,-0.0878803874601297
2.6875,-0.087987636783721
2.68875,-0.0880952960429454
2.69,-0.0882033670843068
2.69125,-0.0883118517625354
2.6925,-0.0884207519406377
2.69375,-0.088530069489956
2.695,-0.0886398062902184
2.69625,-0.0887499642295805
2.6975,-0.0888605452046958
2.69875,-0.0889715511207579
2.7,-0.0890829838915658
2.70125,-0.0891948454395639
2.7025,-0.0893071376959041
2.70375,-0.0894198626005084
2.705,-0.0895330221021053
2.70625,-0.0896466181583101
2.7075,-0.0897606527356577
2.70875,-0.0898751278096805
2.71,-0.0899900453649462
2.71125,-0.0901054073951326
2.7125,-0.090221215903073
2.71375,-0.0903374729008191
2.715,-0.090454180409709
2.71625,-0.090571340460402
2.7175,-0.090688955092962
2.71875,-0.0908070263569141
2.72,-0.0909255563112917
2.72125,-0.0910445470247104
2.7225,-0.0911640005754217
2.72375,-0.0912839190513799
2.725,-0.0914043045503059
2.72625,-0.0915251591797401
2.7275,-0.0916464850571135
2.72875,-0.0917682843098101
2.73,-0.0918905590752324
2.73125,-0.0920133115008584
2.7325,-0.0921365437443158
2.73375,-0.0922602579734437
2.735,-0.0923844563663549
2.73625,-0.0925091411115064
2.7375,-0.0926343144077654
2.73875,-0.0927599784644798
2.74,-0.0928861355015324
2.74125,-0.0930127877494339
2.7425,-0.0931399374493648
2.74375,-0.0932675868532641
2.745,-0.0933957382238802
2.74625,-0.0935243938348697
2.7475,-0.0936535559708398
2.74875,-0.0937832269274303
2.75,-0.0939134090113898
2.75125,-0.0940441045406433
2.7525,-0.0941753158443616
2.75375,-0.0943070452630482
2.755,-0.0944392951485933
2.75625,-0.094572067864363
2.7575,-0.0947053657852676
2.75875,-0.0948391912978438
2.76,-0.094973546800323
2.76125,-0.0951084347027094
2.7625,-0.095243857426861
2.76375,-0.0953798174065703
2.765,-0.0955163170876238
2.76625,-0.0956533589279114
2.7675,-0.0957909453974729
2.76875,-0.0959290789786046
2.77,-0.0960677621659273
2.77125,-0.096206997466467
2.7725,-0.0963467873997399
2.77375,-0.0964871344978384
2.775,-0.0966280413055026
2.77625,-0.0967695103802177
2.7775,-0.0969115442922867
2.77875,-0.0970541456249279
2.78,-0.0971973169743447
2.78125,-0.0973410609498203
2.7825,-0.0974853801738147
2.78375,-0.0976302772820244
2.785,-0.0977757549235042
2.78625,-0.0979218157607272
2.7875,-0.0980684624696925
2.78875,-0.0982156977400128
2.79,-0.0983635242749877
2.79125,-0.0985119447917263
2.7925,-0.0986609620212081
2.79375,-0.0988105787083971
2.795,-0.0989607976123248
2.79625,-0.0991116215061861
2.7975,-0.0992630531774398
2.79875,-0.0994150954278989
2.8,-0.099567751073824
2.80125,-0.0997210229460294
