"Freq [GHz]","dB(S(1,1)) []"
2.5,-0.43211634938633
2.5005,-0.432181147661992
2.501,-0.432245930115046
2.5015,-0.432310696804085
2.502,-0.432375447787747
2.5025,-0.432440183124716
2.503,-0.43250490287371
2.5035,-0.432569607093502
2.504,-0.432634295842907
2.5045,-0.43269896918078
2.505,-0.432763627166027
2.5055,-0.432828269857593
2.506,-0.432892897314476
2.5065,-0.432957509595716
2.507,-0.433022106760392
2.5075,-0.433086688867645
2.508,-0.433151255976652
2.5085,-0.433215808146637
2.509,-0.433280345436872
2.5095,-0.43334486790668
2.51,-0.433409375615429
2.5105,-0.433473868622532
2.511,-0.433538346987454
2.5115,-0.433602810769709
2.512,-0.433667260028856
2.5125,-0.433731694824504
2.513,-0.433796115216318
2.5135,-0.433860521264002
2.514,-0.433924913027313
2.5145,-0.433989290566062
2.515,-0.434053653940109
2.5155,-0.434118003209356
2.516,-0.434182338433773
2.5165,-0.434246659673366
2.517,-0.434310966988196
2.5175,-0.43437526043838
2.518,-0.434439540084083
2.5185,-0.434503805985519
2.519,-0.434568058202964
2.5195,-0.434632296796735
2.52,-0.434696521827214
2.5205,-0.434760733354826
2.521,-0.434824931440057
2.5215,-0.43488911614344
2.522,-0.434953287525565
2.5225,-0.435017445647078
2.523,-0.435081590568678
2.5235,-0.435145722351118
2.524,-0.435209841055207
2.5245,-0.435273946741809
2.525,-0.435338039471848
2.5255,-0.435402119306293
2.526,-0.435466186306179
2.5265,-0.435530240532596
2.527,-0.435594282046686
2.5275,-0.435658310909655
2.528,-0.435722327182759
2.5285,-0.435786330927312
2.529,-0.435850322204696
2.5295,-0.43591430107634
2.53,-0.435978267603733
2.5305,-0.436042221848426
2.531,-0.43610616387203
2.5315,-0.436170093736208
2.532,-0.436234011502691
2.5325,-0.436297917233266
2.533,-0.436361810989778
2.5335,-0.436425692834133
2.534,-0.436489562828301
2.5345,-0.436553421034312
2.535,-0.436617267514249
2.5355,-0.436681102330271
2.536,-0.436744925544588
