"$epsilon_r []","Freq [GHz]","dB(S(1,1)) []"
4.268,2.5,-0.427861050735547
4.268,2.5005,-0.427931426299662
4.268,2.501,-0.428001783402255
4.268,2.5015,-0.428072122100155
4.268,2.502,-0.428142442450201
4.268,2.5025,-0.42821274450924
4.268,2.503,-0.428283028334135
4.268,2.5035,-0.428353293981744
4.268,2.504,-0.428423541508946
4.268,2.5045,-0.428493770972636
4.268,2.505,-0.428563982429702
4.268,2.5055,-0.428634175937058
4.268,2.506,-0.428704351551619
4.268,2.5065,-0.428774509330316
4.268,2.507,-0.428844649330093
4.268,2.5075,-0.428914771607903
4.268,2.508,-0.428984876220708
4.268,2.5085,-0.429054963225487
4.268,2.509,-0.429125032679233
4.268,2.5095,-0.429195084638945
4.268,2.51,-0.429265119161639
4.268,2.5105,-0.429335136304345
4.268,2.511,-0.429405136124106
4.268,2.5115,-0.429475118677977
4.268,2.512,-0.429545084023029
4.268,2.5125,-0.429615032216344
4.268,2.513,-0.429684963315026
4.268,2.5135,-0.429754877376186
4.268,2.514,-0.429824774456953
4.268,2.5145,-0.429894654614473
4.268,2.515,-0.429964517905902
4.268,2.5155,-0.43003436438842
4.268,2.516,-0.430104194119217
4.268,2.5165,-0.430174007155501
4.268,2.517,-0.4302438035545
4.268,2.5175,-0.430313583373453
4.268,2.518,-0.430383346669619
4.268,2.5185,-0.430453093500279
4.268,2.519,-0.430522823922719
4.268,2.5195,-0.43059253799426
4.268,2.52,-0.430662235772227
4.268,2.5205,-0.430731917313974
4.268,2.521,-0.430801582676862
4.268,2.5215,-0.430871231918282
4.268,2.522,-0.430940865095641
4.268,2.5225,-0.431010482266363
4.268,2.523,-0.431080083487892
4.268,2.5235,-0.431149668817697
4.268,2.524,-0.431219238313264
4.268,2.5245,-0.431288792032097
4.268,2.525,-0.431358330031725
4.268,2.5255,-0.431427852369696
4.268,2.526,-0.431497359103577
4.268,2.5265,-0.431566850290968
4.268,2.527,-0.431636325989475
4.268,2.5275,-0.43170578625674
4.268,2.528,-0.431775231150417
4.268,2.5285,-0.431844660728187
4.268,2.529,-0.431914075047758
4.268,2.5295,-0.431983474166854
4.268,2.53,-0.432052858143229
4.268,2.5305,-0.432122227034656
4.268,2.531,-0.432191580898936
4.268,2.5315,-0.432260919793889
4.268,2.532,-0.432330243777367
4.268,2.5325,-0.43239955290724
4.268,2.533,-0.432468847241411
4.268,2.5335,-0.432538126837798
4.268,2.534,-0.432607391754354
4.268,2.5345,-0.432676642049051
4.268,2.535,-0.432745877779894
4.268,2.5355,-0.432815099004908
4.268,2.536,-0.432884305782153
4.268,2.5365,-0.432953498169706
4.268,2.537,-0.433022676225679
4.268,2.5375,-0.433091840008207
4.268,2.538,-0.433160989575458
4.268,2.5385,-0.433230124985623
4.268,2.539,-0.433299246296925
4.268,2.5395,-0.43336835356761
