"Freq [GHz]","dB(St(1,1)) []"
2.5,-0.0751482248457698
2.505,-0.0753942437334189
2.51,-0.0756440997576208
2.515,-0.0758978613030484
2.52,-0.0761555977577788
2.525,-0.0764173795379498
2.53,-0.076683278113051
2.535,-0.0769533660318295
2.54,-0.0772277169488556
2.545,-0.0775064056517707
2.55,-0.0777895080892116
2.555,-0.0780771013994453
2.56,-0.0783692639397736
2.565,-0.0786660753166444
2.57,-0.078967616416586
2.575,-0.079273969437911
2.58,-0.0795852179232982
2.585,-0.0799014467931586
2.59,-0.0802227423799485
2.595,-0.0805491924633531
2.6,-0.0808808863064143
2.605,-0.0812179146926404
2.61,-0.0815603699640716
2.615,-0.0819083460604178
2.62,-0.082261938559224
2.625,-0.0826212447171418
2.63,-0.0829863635123192
2.635,-0.0833573956879639
2.64,-0.0837344437970852
2.645,-0.0841176122485048
2.65,-0.0845070073541107
2.655,-0.0849027373774495
2.66,-0.0853049125836838
2.665,-0.0857136452909221
2.67,-0.0861290499230521
2.675,-0.0865512430640099
2.68,-0.0869803435136421
2.685,-0.0874164723451511
2.69,-0.0878597529641701
2.695,-0.0883103111695799
2.7,-0.0887682752160387
2.705,-0.0892337758783881
2.71,-0.0897069465178743
2.715,-0.0901879231503701
2.72,-0.0906768445165602
2.725,-0.091173852154227
2.73,-0.0916790904726833
2.735,-0.0921927068293984
2.74,-0.0927148516089511
2.745,-0.0932456783043386
2.75,-0.0937853436007329
2.755,-0.0943340074617934
2.76,-0.0948918332185993
2.765,-0.095458987661297
2.77,-0.096035641133569
2.775,-0.0966219676300087
2.78,-0.097218144896512
2.785,-0.0978243545338013
2.79,-0.098440782104157
2.795,-0.0990676172415212
2.8,-0.0997050537650574
2.805,-0.100353289796312
2.81,-0.101012527880072
2.815,-0.101682975109111
2.82,-0.102364843252918
2.825,-0.10305834889056
2.83,-0.103763713547855
2.835,-0.104481163838982
2.84,-0.105210931612731
2.845,-0.105953254103516
2.85,-0.106708374087368
2.855,-0.107476540043088
2.86,-0.108258006318736
2.865,-0.109053033303676
2.87,-0.109861887606384
2.875,-0.110684842238223
2.88,-0.111522176803436
2.885,-0.112374177695603
2.89,-0.113241138300757
2.895,-0.114123359207493
2.9,-0.11502114842427
2.905,-0.115934821604265
2.91,-0.116864702277993
2.915,-0.11781112209407
2.92,-0.118774421068383
2.925,-0.11975494784207
2.93,-0.120753059948588
2.935,-0.121769124090291
2.94,-0.122803516424874
2.945,-0.123856622862099
2.95,-0.124928839371214
2.955,-0.126020572299488
2.96,-0.12713223870237
2.965,-0.128264266685677
2.97,-0.129417095760393
2.975,-0.130591177210543
2.98,-0.131786974474712
2.985,-0.133004963541795
2.99,-0.134245633361586
2.995,-0.135509486270777
3,-0.136797038435132
3.005,-0.138108820308434
3.01,-0.139445377108976
3.015,-0.14080726931436
3.02,-0.142195073175391
3.025,-0.143609381249894
3.03,-0.145050802957361
3.035,-0.146519965155323
3.04,-0.148017512738438
3.045,-0.149544109261279
3.05,-0.15110043758593
3.055,-0.152687200555481
3.06,-0.154305121694598
3.065,-0.155954945938448
3.07,-0.157637440391197
3.075,-0.159353395115564
3.08,-0.161103623954735
3.085,-0.162888965388278
3.09,-0.164710283423554
3.095,-0.166568468524356
3.1,-0.168464438578526
3.105,-0.170399139906377
3.11,-0.172373548311939
3.115,-0.174388670179018
3.12,-0.176445543614308
3.125,-0.178545239639792
3.13,-0.180688863436872
3.135,-0.182877555644801
3.14,-0.185112493716013
3.145,-0.187394893331333
3.15,-0.189726009877902
3.155,-0.192107139993108
3.16,-0.194539623177773
3.165,-0.197024843482193
3.17,-0.199564231268703
3.175,-0.202159265054754
3.18,-0.20481147344064
3.185,-0.207522437126313
3.19,-0.210293791021938
3.195,-0.213127226457126
3.2,-0.216024493494095
3.205,-0.218987403350291
3.21,-0.222017830936336
3.215,-0.225117717515538
3.22,-0.228289073491558
3.225,-0.231533981331238
3.23,-0.234854598629996
3.235,-0.238253161327712
3.24,-0.241731987083424
3.245,-0.245293478817749
3.25,-0.248940128432477
3.255,-0.252674520717343
3.26,-0.25649933745467
