"Freq [GHz]","dB(S(1,1)) []"
2.5,-0.431012191226133
2.505,-0.431654864551405
2.51,-0.432296314016803
2.515,-0.432936602140645
2.52,-0.43357579194848
2.525,-0.434213947001315
2.53,-0.434851131424219
2.535,-0.435487409935198
2.54,-0.436122847874487
2.545,-0.436757511234158
2.55,-0.437391466688159
2.555,-0.438024781622709
2.56,-0.438657524167147
2.565,-0.439289763225185
2.57,-0.439921568506627
2.575,-0.440553010559549
2.58,-0.44118416080297
2.585,-0.441815091560023
2.59,-0.442445876091658
2.595,-0.443076588630874
2.6,-0.443707304417551
2.605,-0.444338099733827
2.61,-0.444969051940122
2.615,-0.445600239511772
2.62,-0.446231742076338
2.625,-0.446863640451578
2.63,-0.447496016684147
2.635,-0.448128954089023
2.64,-0.448762537289688
2.645,-0.449396852259113
2.65,-0.450031986361537
2.655,-0.450668028395151
2.66,-0.451305068635591
2.665,-0.451943198880392
2.67,-0.45258251249438
2.675,-0.453223104456044
2.68,-0.453865071404919
2.685,-0.454508511690039
2.69,-0.455153525419467
2.695,-0.455800214510973
2.7,-0.456448682743889
2.705,-0.457099035812158
2.71,-0.457751381378682
2.715,-0.458405829130956
2.72,-0.459062490838058
2.725,-0.459721480409062
2.73,-0.460382913952886
2.735,-0.461046909839684
2.74,-0.461713588763767
2.745,-0.462383073808177
2.75,-0.463055490510936
2.755,-0.463730966933031
2.76,-0.464409633728234
2.765,-0.465091624214761
2.77,-0.465777074448922
2.775,-0.466466123300744
2.78,-0.467158912531732
2.785,-0.467855586874758
2.79,-0.468556294116221
2.795,-0.469261185180558
2.8,-0.469970414217137
2.805,-0.4706841386897
2.81,-0.471402519468384
2.815,-0.472125720924474
2.82,-0.472853911027944
2.825,-0.473587261447901
2.83,-0.474325947656085
2.835,-0.475070149033471
2.84,-0.47582004898015
2.845,-0.476575835028586
2.85,-0.477337698960373
2.855,-0.478105836926651
2.86,-0.478880449572297
2.865,-0.479661742164069
2.87,-0.480449924722796
2.875,-0.481245212159863
2.88,-0.482047824418047
2.885,-0.482857986616983
2.89,-0.483675929203368
2.895,-0.48450188810612
